# prefix,country_code,region_code,city,postal
2a0a:280:1158::/48,ID,ID-NB,Mataram,83122
2a0a:280:1159::/48,ID,ID-NB,Mataram,83122
2a0a:280:115a::/48,ID,ID-NB,Mataram,83122
2a0a:280:115b::/48,ID,ID-NB,Mataram,83122
2a0a:280:115c::/48,ID,ID-NB,Mataram,83122
2a0a:280:115d::/48,ID,ID-NB,Mataram,83122
2a0a:280:115e::/48,ID,ID-NB,Mataram,83122
2a0a:280:115f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1160::/48,ID,ID-NB,Mataram,83122
2a0a:280:1161::/48,ID,ID-NB,Mataram,83122
2a0a:280:1162::/48,ID,ID-NB,Mataram,83122
2a0a:280:1163::/48,ID,ID-NB,Mataram,83122
2a0a:280:1164::/48,ID,ID-NB,Mataram,83122
2a0a:280:1165::/48,ID,ID-NB,Mataram,83122
2a0a:280:1166::/48,ID,ID-NB,Mataram,83122
2a0a:280:1167::/48,ID,ID-NB,Mataram,83122
2a0a:280:1168::/48,ID,ID-NB,Mataram,83122
2a0a:280:1169::/48,ID,ID-NB,Mataram,83122
2a0a:280:116a::/48,ID,ID-NB,Mataram,83122
2a0a:280:116b::/48,ID,ID-NB,Mataram,83122
2a0a:280:116c::/48,ID,ID-NB,Mataram,83122
2a0a:280:116d::/48,ID,ID-NB,Mataram,83122
2a0a:280:116e::/48,ID,ID-NB,Mataram,83122
2a0a:280:116f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1170::/48,ID,ID-NB,Mataram,83122
2a0a:280:1171::/48,ID,ID-NB,Mataram,83122
2a0a:280:1172::/48,ID,ID-NB,Mataram,83122
2a0a:280:1173::/48,ID,ID-NB,Mataram,83122
2a0a:280:1174::/48,ID,ID-NB,Mataram,83122
2a0a:280:1175::/48,ID,ID-NB,Mataram,83122
2a0a:280:1176::/48,ID,ID-NB,Mataram,83122
2a0a:280:1177::/48,ID,ID-NB,Mataram,83122
2a0a:280:1178::/48,ID,ID-NB,Mataram,83122
2a0a:280:1179::/48,ID,ID-NB,Mataram,83122
2a0a:280:117a::/48,ID,ID-NB,Mataram,83122
2a0a:280:117b::/48,ID,ID-NB,Mataram,83122
2a0a:280:117c::/48,ID,ID-NB,Mataram,83122
2a0a:280:117d::/48,ID,ID-NB,Mataram,83122
2a0a:280:117e::/48,ID,ID-NB,Mataram,83122
2a0a:280:117f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1180::/48,ID,ID-NB,Mataram,83122
2a0a:280:1181::/48,ID,ID-NB,Mataram,83122
2a0a:280:1182::/48,ID,ID-NB,Mataram,83122
2a0a:280:1183::/48,ID,ID-NB,Mataram,83122
2a0a:280:1184::/48,ID,ID-NB,Mataram,83122
2a0a:280:1185::/48,ID,ID-NB,Mataram,83122
2a0a:280:1186::/48,ID,ID-NB,Mataram,83122
2a0a:280:1187::/48,ID,ID-NB,Mataram,83122
2a0a:280:1188::/48,ID,ID-NB,Mataram,83122
2a0a:280:1189::/48,ID,ID-NB,Mataram,83122
2a0a:280:118a::/48,ID,ID-NB,Mataram,83122
2a0a:280:118b::/48,ID,ID-NB,Mataram,83122
2a0a:280:118c::/48,ID,ID-NB,Mataram,83122
2a0a:280:118d::/48,ID,ID-NB,Mataram,83122
2a0a:280:118e::/48,ID,ID-NB,Mataram,83122
2a0a:280:118f::/48,ID,ID-NB,Mataram,83122
2a0a:280:1190::/48,ID,ID-NB,Mataram,83122
2a0a:280:1191::/48,ID,ID-NB,Mataram,83122
2a0a:280:1192::/48,ID,ID-NB,Mataram,83122
2a0a:280:1193::/48,ID,ID-NB,Mataram,83122
2a0a:280:1194::/48,ID,ID-NB,Mataram,83122
2a0a:280:1195::/48,ID,ID-NB,Mataram,83122
2a0a:280:1196::/48,ID,ID-NB,Mataram,83122
2a0a:280:1197::/48,ID,ID-NB,Mataram,83122
2a0a:280:1198::/48,ID,ID-NB,Mataram,83122
2a0a:280:1199::/48,ID,ID-NB,Mataram,83122
2a0a:280:119a::/48,ID,ID-NB,Mataram,83122
2a0a:280:119b::/48,ID,ID-NB,Mataram,83122
2a0a:280:119c::/48,ID,ID-NB,Mataram,83122
2a0a:280:119d::/48,ID,ID-NB,Mataram,83122
2a0a:280:119e::/48,ID,ID-NB,Mataram,83122
2a0a:280:119f::/48,ID,ID-NB,Mataram,83122
2a0a:280:11a0::/48,ID,ID-NB,Mataram,83122
2a0a:280:11a1::/48,ID,ID-NB,Mataram,83122
2a0a:280:11a2::/48,ID,ID-NB,Mataram,83122
2a0a:280:11a3::/48,ID,ID-NB,Mataram,83122
